model,domain,lead_day,metric,mean,ci_lower,ci_upper,n_initializations,bootstrap_reps,block_days,seed_base,lead_seed
CNN,pan_arctic,12,r,0.9703341310639628,0.9682316948868208,0.9733547515899228,282,5000,7,20260816,20260828
CNN,pan_arctic,13,r,0.9684625953602956,0.9659186901097996,0.9719107082476746,282,5000,7,20260816,20260829
CNN,pan_arctic,14,r,0.9666458338369172,0.9636610079813968,0.9704340750301752,282,5000,7,20260816,20260830
CNN,pan_arctic,15,r,0.9648381621257824,0.9614801494505568,0.9690985903794817,282,5000,7,20260816,20260831
CNN,pan_arctic,16,r,0.963046629541832,0.9592801045508046,0.9675906681522284,282,5000,7,20260816,20260832
CNN,pan_arctic,17,r,0.961297965150394,0.95736703482762,0.9661824081116586,282,5000,7,20260816,20260833
CNN,pan_arctic,18,r,0.9595415623617186,0.9551919417626616,0.9647094204879456,282,5000,7,20260816,20260834
CNN,pan_arctic,19,r,0.957736861962704,0.953266555800912,0.9632130969498586,282,5000,7,20260816,20260835
CNN,pan_arctic,20,r,0.9558371175905832,0.9512051519734334,0.9616977445553836,282,5000,7,20260816,20260836
CNN,pan_arctic,21,r,0.9539126983344692,0.9489355186153404,0.960206974940484,282,5000,7,20260816,20260837
CNN,pan_arctic,22,r,0.951903725189656,0.9468094552119446,0.9588299077217932,282,5000,7,20260816,20260838
CNN,pan_arctic,23,r,0.9499514995915396,0.9445044992316952,0.957614492399308,282,5000,7,20260816,20260839
CNN,pan_arctic,24,r,0.9479927721098328,0.9423080357762738,0.95621186076325,282,5000,7,20260816,20260840
CNN,pan_arctic,25,r,0.9460454406565566,0.9400489391462749,0.955004947253933,282,5000,7,20260816,20260841
CNN,pan_arctic,26,r,0.9441579456840172,0.9378268476759744,0.9536336779624738,282,5000,7,20260816,20260842
CNN,pan_arctic,27,r,0.94228740711764,0.9355134476841792,0.9521058391183104,282,5000,7,20260816,20260843
CNN,pan_arctic,28,r,0.940372818163648,0.9330839784772084,0.9507447472714504,282,5000,7,20260816,20260844
CNN,pan_arctic,29,r,0.9383974802176864,0.9307503484220144,0.9491634834934016,282,5000,7,20260816,20260845
CNN,pan_arctic,30,r,0.9363361690969768,0.9281064704329174,0.9475165385028488,282,5000,7,20260816,20260846
